PARAMETER：
IMG_HEIGHT =  345;
IMG_WIDTH =  400;
ITER = 10000;  // 随机取点次数
PLANE_OR_NOT =0.1;  // 判断是否为平面的分界线

-----------------------------
RESULT:
basePath = "/home/zhoujie/liveness detection/raw文件/face";
pretotal = 1863,_ary = 0.071717,154.raw是人脸
pretotal = 1601,_ary = 0.062863,52.raw是人脸
pretotal = 1443,_ary = 0.063337,185.raw是人脸
pretotal = 1708,_ary = 0.062776,50.raw是人脸
pretotal = 1731,_ary = 0.073397,156.raw是人脸
pretotal = 1363,_ary = 0.060629,44.raw是人脸
pretotal = 1547,_ary = 0.068084,9.raw是人脸
pretotal = 1592,_ary = 0.061109,94.raw是人脸
pretotal = 1499,_ary = 0.060324,187.raw是人脸
pretotal = 1618,_ary = 0.063857,29.raw是人脸
pretotal = 1719,_ary = 0.071121,77.raw是人脸
pretotal = 1714,_ary = 0.068949,48.raw是人脸
pretotal = 1584,_ary = 0.071393,150.raw是人脸
pretotal = 1760,_ary = 0.068939,27.raw是人脸
pretotal = 1729,_ary = 0.059053,59.raw是人脸
pretotal = 1884,_ary = 0.073427,11.raw是人脸
pretotal = 1579,_ary = 0.063603,186.raw是人脸
pretotal = 1666,_ary = 0.065673,177.raw是人脸
pretotal = 1602,_ary = 0.059694,34.raw是人脸
pretotal = 1811,_ary = 0.069721,84.raw是人脸
pretotal = 1732,_ary = 0.068834,111.raw是人脸
pretotal = 1659,_ary = 0.064405,53.raw是人脸
pretotal = 1764,_ary = 0.071123,161.raw是人脸
pretotal = 1707,_ary = 0.053001,14.raw是人脸
pretotal = 1583,_ary = 0.061723,55.raw是人脸
pretotal = 1576,_ary = 0.070172,109.raw是人脸
pretotal = 1848,_ary = 0.080590,18.raw是人脸
pretotal = 1723,_ary = 0.068357,23.raw是人脸
pretotal = 1670,_ary = 0.065377,56.raw是人脸
pretotal = 2003,_ary = 0.073534,7.raw是人脸
pretotal = 1585,_ary = 0.061561,198.raw是人脸
pretotal = 1444,_ary = 0.061387,133.raw是人脸
pretotal = 1730,_ary = 0.067153,73.raw是人脸
pretotal = 1823,_ary = 0.070408,72.raw是人脸
pretotal = 1573,_ary = 0.062890,113.raw是人脸
pretotal = 1532,_ary = 0.063108,46.raw是人脸
pretotal = 1497,_ary = 0.070203,43.raw是人脸
pretotal = 1607,_ary = 0.069489,112.raw是人脸
pretotal = 1825,_ary = 0.070529,92.raw是人脸
pretotal = 1785,_ary = 0.071152,24.raw是人脸
pretotal = 1635,_ary = 0.069911,137.raw是人脸
pretotal = 1652,_ary = 0.066818,178.raw是人脸
pretotal = 1793,_ary = 0.076049,78.raw是人脸
pretotal = 1698,_ary = 0.066398,5.raw是人脸
pretotal = 1798,_ary = 0.070002,15.raw是人脸
pretotal = 1655,_ary = 0.065472,118.raw是人脸
pretotal = 1746,_ary = 0.070434,102.raw是人脸
pretotal = 1809,_ary = 0.071097,8.raw是人脸
pretotal = 1565,_ary = 0.066274,140.raw是人脸
pretotal = 1605,_ary = 0.065119,179.raw是人脸
pretotal = 1637,_ary = 0.064629,195.raw是人脸
pretotal = 1455,_ary = 0.063036,182.raw是人脸
pretotal = 1552,_ary = 0.065082,166.raw是人脸
pretotal = 1637,_ary = 0.063327,152.raw是人脸
pretotal = 1680,_ary = 0.065443,82.raw是人脸
pretotal = 1539,_ary = 0.062780,142.raw是人脸
pretotal = 1586,_ary = 0.068195,122.raw是人脸
pretotal = 1740,_ary = 0.071652,65.raw是人脸
pretotal = 1725,_ary = 0.068096,12.raw是人脸
pretotal = 1695,_ary = 0.065338,71.raw是人脸
pretotal = 1788,_ary = 0.071229,25.raw是人脸
pretotal = 1455,_ary = 0.061870,47.raw是人脸
pretotal = 1603,_ary = 0.072679,110.raw是人脸
pretotal = 1647,_ary = 0.062301,33.raw是人脸
pretotal = 1638,_ary = 0.064992,151.raw是人脸
pretotal = 1826,_ary = 0.066431,62.raw是人脸
pretotal = 1713,_ary = 0.067665,196.raw是人脸
pretotal = 1525,_ary = 0.063439,144.raw是人脸
pretotal = 1741,_ary = 0.072361,51.raw是人脸
pretotal = 1777,_ary = 0.071202,19.raw是人脸
pretotal = 1448,_ary = 0.067781,121.raw是人脸
pretotal = 1790,_ary = 0.074633,64.raw是人脸
pretotal = 1491,_ary = 0.061734,123.raw是人脸
pretotal = 1421,_ary = 0.061404,147.raw是人脸
pretotal = 1759,_ary = 0.075669,26.raw是人脸
pretotal = 1664,_ary = 0.066501,119.raw是人脸
pretotal = 1485,_ary = 0.057929,98.raw是人脸
pretotal = 1640,_ary = 0.064268,158.raw是人脸
pretotal = 1705,_ary = 0.069989,174.raw是人脸
pretotal = 1766,_ary = 0.069009,159.raw是人脸
pretotal = 1701,_ary = 0.065516,28.raw是人脸
pretotal = 1464,_ary = 0.062060,145.raw是人脸
pretotal = 1473,_ary = 0.076631,148.raw是人脸
pretotal = 1457,_ary = 0.071759,125.raw是人脸
pretotal = 1388,_ary = 0.056110,162.raw是人脸
pretotal = 1454,_ary = 0.052419,170.raw是人脸
pretotal = 1545,_ary = 0.068336,101.raw是人脸
pretotal = 1462,_ary = 0.058212,45.raw是人脸
pretotal = 1418,_ary = 0.060585,129.raw是人脸
pretotal = 1607,_ary = 0.068099,116.raw是人脸
pretotal = 1670,_ary = 0.066307,191.raw是人脸

basePath = "/home/zhoujie/liveness detection/raw文件/non-face";
pretotal = 3331,_ary = 0.210503,141.raw不是人脸
pretotal = 5547,_ary = 0.299288,164.raw不是人脸
pretotal = 3333,_ary = 0.243160,38.raw不是人脸
pretotal = 7807,_ary = 0.398866,143.raw不是人脸
pretotal = 4970,_ary = 0.315576,138.raw不是人脸
pretotal = 3580,_ary = 0.257350,193.raw不是人脸
pretotal = 2866,_ary = 0.223348,54.raw不是人脸
pretotal = 3980,_ary = 0.195539,22.raw不是人脸
pretotal = 3539,_ary = 0.256375,32.raw不是人脸
pretotal = 2844,_ary = 0.214496,49.raw不是人脸
pretotal = 5914,_ary = 0.313208,89.raw不是人脸
pretotal = 6294,_ary = 0.328360,88.raw不是人脸
pretotal = 5422,_ary = 0.304453,180.raw不是人脸
pretotal = 4702,_ary = 0.287883,188.raw不是人脸
pretotal = 3513,_ary = 0.281107,107.raw不是人脸
pretotal = 3714,_ary = 0.254140,136.raw不是人脸
pretotal = 7590,_ary = 0.317374,75.raw不是人脸
pretotal = 4192,_ary = 0.287596,93.raw不是人脸
pretotal = 2297,_ary = 0.220293,115.raw不是人脸
pretotal = 2270,_ary = 0.197340,128.raw不是人脸
pretotal = 2189,_ary = 0.207567,114.raw不是人脸
pretotal = 1994,_ary = 0.189544,126.raw不是人脸
pretotal = 4770,_ary = 0.290960,91.raw不是人脸
pretotal = 3397,_ary = 0.265474,104.raw不是人脸
